iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
USA,IHD,fruits,Female,95+ years,0.0210450228253841,543.6390005864215,80.07064298496041,1276.5706712255906,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,25-29 years,0.124684997863287,0.0352872465775127,0.0084932592154508,0.068688667263255,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,30-34 years,0.1194820472073257,0.1143253850051565,0.0252637219408626,0.2163366277823914,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,35-39 years,0.1133792324343805,0.257815400927579,0.0544125743675564,0.5016078832644277,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,40-44 years,0.1001631615524714,0.6733782589754336,0.1522983403321761,1.2753039866623186,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,45-49 years,0.0806177727382654,0.8559832614192191,0.1827561635726879,1.673156837303556,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,50-54 years,0.0621708154246361,1.244705903475991,0.2183717297609851,2.5233717156091915,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,55-59 years,0.0454901127106012,1.8307321379517785,0.3106995912772541,4.089030180033952,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,60-64 years,0.0352405898284045,2.490689681307978,0.3830681764513526,5.673426626814856,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,65-69 years,0.0308204580783951,3.12326115182248,0.4912077354798677,7.298042428739647,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,70-74 years,0.0277015118861841,3.861181013384354,0.5864908989628894,8.690568078343158,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,75-79 years,0.0262590536517804,6.320167038884962,0.9920483690355116,14.27109652920008,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,80-84 years,0.0269568795507539,10.024285893176623,1.681010800568555,22.37055627825212,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,85-89 years,0.0270973434479789,14.31048150616268,2.4032006137739867,31.920665106712104,部分汇流-结构小部可及,0.13
