iso3,arm,coverage,flow,yr
NZL,glp1,0.20,143.36269002206632,11
NZL,glp1,0.50,358.7989468231896,11
NZL,glp1,afford,718.9121861992452,11
ROU,combo,0.20,2795.7851558737493,11
ROU,combo,0.50,3952.540143782117,11
ROU,combo,afford,5896.371823335554,11
ROU,diet,0.20,2028.4796119719213,11
ROU,diet,0.50,2028.4796119719213,11
ROU,diet,afford,2028.4796119719213,11
ROU,glp1,0.20,786.1257951674183,11
ROU,glp1,0.50,1971.1914455987128,11
ROU,glp1,afford,3962.42457282281,11
TUR,combo,0.20,4108.550076033611,11
TUR,combo,0.50,7977.480535452241,11
TUR,combo,afford,14465.7356011069,11
TUR,diet,0.20,1539.027098026345,11
TUR,diet,0.50,1539.027098026345,11
TUR,diet,afford,1539.027098026345,11
TUR,glp1,0.20,2592.321431457971,11
TUR,glp1,0.50,6495.422308511254,11
TUR,glp1,afford,13040.549807491356,11
USA,combo,0.20,19490.2322007662,11
USA,combo,0.50,35497.6915437748,11
USA,combo,afford,62284.29133434164,11
USA,diet,0.20,8845.10163537263,11
USA,diet,0.50,8845.10163537263,11
USA,diet,afford,8845.10163537263,11
USA,glp1,0.20,10780.871020085297,11
USA,glp1,0.50,26991.291659989634,11
USA,glp1,afford,54114.38041414987,11
ZAF,combo,0.20,730.1764896440145,11
ZAF,combo,0.50,1742.8356591194606,11
ZAF,combo,afford,2759.4871270299573,11
ZAF,diet,0.20,57.23878882084318,11
ZAF,diet,0.50,57.23878882084318,11
ZAF,diet,afford,57.23878882084318,11
ZAF,glp1,0.20,673.6490296937063,11
ZAF,glp1,0.50,1687.3722488103158,11
ZAF,glp1,afford,2705.0842046338657,11
AUS,combo,0.20,1067.5895694109972,12
AUS,combo,0.50,1835.224661440553,12
AUS,combo,afford,3118.42294479725,12
AUS,diet,0.20,556.7716308523545,12
AUS,diet,0.50,556.7716308523545,12
AUS,diet,afford,556.7716308523545,12
AUS,glp1,0.20,518.6978210641319,12
AUS,glp1,0.50,1298.1208880169856,12
AUS,glp1,afford,2600.8782540758034,12
BGD,combo,0.20,7522.709709671524,12
BGD,combo,0.50,9023.568089241771,12
BGD,combo,afford,10527.528605415971,12
BGD,diet,0.20,6523.844194173129,12
BGD,diet,0.50,6523.844194173129,12
BGD,diet,afford,6523.844194173129,12
BGD,glp1,0.20,1028.021733981701,12
BGD,glp1,0.50,2572.6256299304223,12
BGD,glp1,afford,4120.34487577222,12
BGR,combo,0.20,1174.8516732354965,12
BGR,combo,0.50,1725.1763540185948,12
BGR,combo,afford,2650.814739274688,12
BGR,diet,0.20,810.0236317391198,12
BGR,diet,0.50,810.0236317391198,12
BGR,diet,afford,810.0236317391198,12
BGR,glp1,0.20,372.6776180806055,12
BGR,glp1,0.50,934.8176775240496,12
BGR,glp1,afford,1880.2582343135653,12
BRA,combo,0.20,8930.024303169681,12
BRA,combo,0.50,14916.69582901055,12
BRA,combo,afford,24915.95976003238,12
BRA,diet,0.20,4944.225589492235,12
BRA,diet,0.50,4944.225589492235,12
BRA,diet,afford,4944.225589492235,12
BRA,glp1,0.20,4056.4375326781774,12
BRA,glp1,0.50,10148.666509278431,12
BRA,glp1,afford,20322.7703430704,12
CAN,combo,0.20,1370.1926335457174,12
CAN,combo,0.50,2528.146617444032,12
CAN,combo,afford,4463.668337804496,12
CAN,diet,0.20,599.6091923303666,12
CAN,diet,0.50,599.6091923303666,12
CAN,diet,afford,599.6091923303666,12
CAN,glp1,0.20,779.024717812973,12
CAN,glp1,0.50,1949.5937766601885,12
CAN,glp1,afford,3906.0136002838863,12
CHN,combo,0.20,89264.69471639361,12
CHN,combo,0.50,116891.04918063982,12
CHN,combo,afford,163036.19146293914,12
CHN,diet,0.20,70872.24993482776,12
CHN,diet,0.50,70872.24993482776,12
CHN,diet,afford,70872.24993482776,12
CHN,glp1,0.20,18842.588993276546,12
CHN,glp1,0.50,47143.533256268594,12
CHN,glp1,afford,94411.2887057484,12
DEU,combo,0.20,5179.12925332411,12
DEU,combo,0.50,9464.566064868177,12
