iso3,yr,cum_averted,gdd_var,factor
BRA,28,28637.0,v01,Fruits
CAN,28,3054.8,v01,Fruits
CHN,28,508881.6,v01,Fruits
DEU,28,14503.8,v01,Fruits
EGY,28,14332.3,v01,Fruits
GBR,28,11620.7,v01,Fruits
GLB,28,2186259.6,v01,Fruits
IND,28,1902597.5,v01,Fruits
ISR,28,292.5,v01,Fruits
JPN,28,36479.7,v01,Fruits
MEX,28,16218.3,v01,Fruits
NGA,28,44420.8,v01,Fruits
NZL,28,1057.8,v01,Fruits
ROU,28,5631.1,v01,Fruits
TUR,28,3012.6,v01,Fruits
USA,28,58394.0,v01,Fruits
ZAF,28,46930.3,v01,Fruits
AUS,29,4815.0,v01,Fruits
BGD,29,115209.6,v01,Fruits
BGR,29,5632.2,v01,Fruits
BRA,29,30640.3,v01,Fruits
CAN,29,3262.6,v01,Fruits
CHN,29,543217.9,v01,Fruits
DEU,29,15371.3,v01,Fruits
EGY,29,15277.1,v01,Fruits
GBR,29,12360.3,v01,Fruits
GLB,29,2336922.5,v01,Fruits
IND,29,2031242.9,v01,Fruits
ISR,29,313.8,v01,Fruits
JPN,29,38630.1,v01,Fruits
MEX,29,17402.2,v01,Fruits
NGA,29,47926.0,v01,Fruits
NZL,29,1125.9,v01,Fruits
ROU,29,5924.6,v01,Fruits
TUR,29,3217.9,v01,Fruits
USA,29,62095.5,v01,Fruits
ZAF,29,50213.3,v01,Fruits
AUS,30,5121.3,v01,Fruits
BGD,30,122433.8,v01,Fruits
BGR,30,5896.6,v01,Fruits
BRA,30,32667.5,v01,Fruits
CAN,30,3472.4,v01,Fruits
CHN,30,577836.2,v01,Fruits
DEU,30,16238.6,v01,Fruits
EGY,30,16228.1,v01,Fruits
GBR,30,13105.4,v01,Fruits
GLB,30,2489577.1,v01,Fruits
IND,30,2161570.0,v01,Fruits
ISR,30,335.5,v01,Fruits
JPN,30,40788.9,v01,Fruits
MEX,30,18607.1,v01,Fruits
NGA,30,51526.2,v01,Fruits
NZL,30,1194.7,v01,Fruits
ROU,30,6216.3,v01,Fruits
TUR,30,3426.1,v01,Fruits
USA,30,65811.3,v01,Fruits
ZAF,30,53557.3,v01,Fruits
AUS,1,0.0,v02,Vegetables
BGD,1,0.0,v02,Vegetables
BGR,1,0.0,v02,Vegetables
BRA,1,0.0,v02,Vegetables
CAN,1,0.0,v02,Vegetables
CHN,1,0.0,v02,Vegetables
DEU,1,0.0,v02,Vegetables
EGY,1,0.0,v02,Vegetables
GBR,1,0.0,v02,Vegetables
GLB,1,0.0,v02,Vegetables
IND,1,0.0,v02,Vegetables
ISR,1,0.0,v02,Vegetables
JPN,1,0.0,v02,Vegetables
MEX,1,0.0,v02,Vegetables
NGA,1,0.0,v02,Vegetables
NZL,1,0.0,v02,Vegetables
ROU,1,0.0,v02,Vegetables
TUR,1,0.0,v02,Vegetables
USA,1,0.0,v02,Vegetables
ZAF,1,0.0,v02,Vegetables
AUS,2,2.2,v02,Vegetables
BGD,2,80.1,v02,Vegetables
BGR,2,3.1,v02,Vegetables
BRA,2,34.3,v02,Vegetables
CAN,2,2.7,v02,Vegetables
CHN,2,-5.9,v02,Vegetables
DEU,2,10.5,v02,Vegetables
EGY,2,2.8,v02,Vegetables
GBR,2,7.2,v02,Vegetables
GLB,2,452.7,v02,Vegetables
IND,2,181.2,v02,Vegetables
ISR,2,0.1,v02,Vegetables
JPN,2,6.3,v02,Vegetables
MEX,2,9.0,v02,Vegetables
NGA,2,17.3,v02,Vegetables
NZL,2,0.6,v02,Vegetables
ROU,2,1.1,v02,Vegetables
TUR,2,-0.7,v02,Vegetables
USA,2,21.0,v02,Vegetables
ZAF,2,19.2,v02,Vegetables
AUS,3,7.4,v02,Vegetables
BGD,3,263.8,v02,Vegetables
BGR,3,10.0,v02,Vegetables
BRA,3,119.6,v02,Vegetables
CAN,3,9.3,v02,Vegetables
CHN,3,-20.5,v02,Vegetables
DEU,3,36.0,v02,Vegetables
EGY,3,8.6,v02,Vegetables
GBR,3,24.2,v02,Vegetables
GLB,3,1557.2,v02,Vegetables
IND,3,607.3,v02,Vegetables
ISR,3,0.3,v02,Vegetables
JPN,3,21.5,v02,Vegetables
MEX,3,31.7,v02,Vegetables
NGA,3,59.4,v02,Vegetables
NZL,3,1.9,v02,Vegetables
ROU,3,3.4,v02,Vegetables
TUR,3,-2.2,v02,Vegetables
USA,3,72.0,v02,Vegetables
ZAF,3,63.8,v02,Vegetables
AUS,4,16.8,v02,Vegetables
BGD,4,594.5,v02,Vegetables
BGR,4,22.0,v02,Vegetables
BRA,4,280.3,v02,Vegetables
CAN,4,21.4,v02,Vegetables
CHN,4,-47.8,v02,Vegetables
DEU,4,82.6,v02,Vegetables
EGY,4,18.7,v02,Vegetables
GBR,4,55.2,v02,Vegetables
GLB,4,3604.4,v02,Vegetables
IND,4,1384.0,v02,Vegetables
ISR,4,0.6,v02,Vegetables
JPN,4,49.3,v02,Vegetables
MEX,4,74.6,v02,Vegetables
NGA,4,137.9,v02,Vegetables
NZL,4,4.4,v02,Vegetables
ROU,4,7.1,v02,Vegetables
TUR,4,-5.0,v02,Vegetables
USA,4,166.5,v02,Vegetables
ZAF,4,144.1,v02,Vegetables
AUS,5,32.1,v02,Vegetables
BGD,5,1128.8,v02,Vegetables
BGR,5,40.9,v02,Vegetables
BRA,5,547.7,v02,Vegetables
CAN,5,41.5,v02,Vegetables
CHN,5,-92.8,v02,Vegetables
DEU,5,157.8,v02,Vegetables
EGY,5,34.7,v02,Vegetables
GBR,5,105.1,v02,Vegetables
GLB,5,6967.8,v02,Vegetables
IND,5,2646.5,v02,Vegetables
ISR,5,1.3,v02,Vegetables
JPN,5,94.1,v02,Vegetables
MEX,5,146.7,v02,Vegetables
NGA,5,268.2,v02,Vegetables
NZL,5,8.4,v02,Vegetables
ROU,5,13.0,v02,Vegetables
TUR,5,-9.3,v02,Vegetables
USA,5,322.2,v02,Vegetables
ZAF,5,274.4,v02,Vegetables
AUS,6,55.3,v02,Vegetables
BGD,6,1929.5,v02,Vegetables
BGR,6,68.2,v02,Vegetables
BRA,6,957.9,v02,Vegetables
CAN,6,72.2,v02,Vegetables
CHN,6,-161.7,v02,Vegetables
DEU,6,269.1,v02,Vegetables
EGY,6,58.4,v02,Vegetables
GBR,6,179.2,v02,Vegetables
GLB,6,12065.5,v02,Vegetables
IND,6,4542.2,v02,Vegetables
ISR,6,2.2,v02,Vegetables
JPN,6,160.6,v02,Vegetables
MEX,6,257.8,v02,Vegetables
NGA,6,468.2,v02,Vegetables
NZL,6,14.4,v02,Vegetables
ROU,6,21.3,v02,Vegetables
TUR,6,-15.7,v02,Vegetables
USA,6,558.9,v02,Vegetables
ZAF,6,470.1,v02,Vegetables
AUS,7,88.1,v02,Vegetables
BGD,7,3054.3,v02,Vegetables
BGR,7,105.4,v02,Vegetables
BRA,7,1546.3,v02,Vegetables
CAN,7,116.0,v02,Vegetables
CHN,7,-260.2,v02,Vegetables
DEU,7,423.0,v02,Vegetables
EGY,7,91.4,v02,Vegetables
GBR,7,282.3,v02,Vegetables
GLB,7,19295.0,v02,Vegetables
IND,7,7203.4,v02,Vegetables
ISR,7,3.5,v02,Vegetables
JPN,7,252.7,v02,Vegetables
MEX,7,418.0,v02,Vegetables
NGA,7,756.1,v02,Vegetables
NZL,7,22.8,v02,Vegetables
ROU,7,32.4,v02,Vegetables
TUR,7,-24.6,v02,Vegetables
USA,7,895.9,v02,Vegetables
